마을명,province,city,details
매관마을,전라남도,나주시,왕곡면
내동마을,전라남도,나주시,노안면
텃골마을,전라남도,나주시,운곡동
장사마을,전라남도,나주시,왕곡면
매성3구마을,전라남도,나주시,산포면
구천마을,전라남도,나주시,왕곡면
우진마을,전라남도,나주시,남평읍
호장마을,전라남도,나주시,다시면
방동마을,전라남도,나주시,문평면
우산3구마을,전라남도,나주시,남평읍
복룡마을,전라남도,나주시,노안면
원두마을,전라남도,나주시,남평읍
추동마을,전라남도,나주시,금천면
청룡마을,전라남도,나주시,공산면
가송마을,전라남도,나주시,평산동
원촌마을,전라남도,나주시,금천면
금산마을,전라남도,나주시,문평면
청동마을,전라남도,나주시,청동
양산마을,전라남도,나주시,문평면
동산마을,전라남도,나주시,동강면
1구덕산마을,전라남도,나주시,문평면
수동마을,전라남도,나주시,문평면
천석마을,전라남도,나주시,금천면
봉추마을,전라남도,나주시,동강면
철산마을,전라남도,나주시,동강면
안영마을,전라남도,나주시,문평면
초동마을,전라남도,나주시,다시면
화정마을,전라남도,나주시,왕곡면
양지마을,전라남도,나주시,동강면
대각마을,전라남도,나주시,동강면
구기촌마을,전라남도,나주시,왕곡면
대도마을,전라남도,나주시,문평면
화정마을,전라남도,나주시,동강면
화정마을,전라남도,나주시,동강면
복용마을,전라남도,나주시,동강면
신흥마을,전라남도,나주시,다시면
월동마을,전라남도,나주시,동강면
용동마을,전라남도,나주시,동강면
평산2구마을,전라남도,나주시,남평읍
두산마을,전라남도,나주시,다시면
2구소학마을,전라남도,나주시,문평면
강암마을,전라남도,나주시,다시면
오봉2구마을,전라남도,나주시,세지면
학암마을,전라남도,영암군,군서면
군서마을,전라남도,영암군,군서면
영풍마을,전라남도,영암군,서호면
학파마을,전라남도,영암군,서호면
원학마을,전라남도,영암군,신북면
영보1구마을,전라남도,영암군,덕진면
엄길마을,전라남도,영암군,서호면
안풍마을,전라남도,영암군,도포면
저두마을,전라남도,영암군,삼호읍
독천마을,전라남도,영암군,학산면
역리3구마을,전라남도,영암군,영암읍
중계마을,전라남도,영암군,시종면
대초마을,전라남도,영암군,미암면
당리마을,전라남도,영암군,미암면
백운동마을,전라남도,영암군,시종면
세원마을,전라남도,영암군,시종면
용두마을,전라남도,영암군,삼호읍
흥월마을,전라남도,영암군,시종면
동산마을,전라남도,영암군,금정면
덕수마을,전라남도,영암군,학산면
금강마을,전라남도,영암군,서호면
장암2구마을,전라남도,영암군,영암읍
원금수마을,전라남도,영암군,신북면
망호리마을,전라남도,영암군,영암읍
명산마을,전라남도,영암군,도포면
화소마을,전라남도,영암군,서호면
비래마을,전라남도,영암군,미암면
서호정마을,전라남도,영암군,군서면
상월마을,전라남도,영암군,학산면
용산마을,전라남도,영암군,신북면
미교마을,전라남도,영암군,학산면
연서마을,전라남도,영암군,시종면
송산마을,전라남도,영암군,시종면
금강1구마을,전라남도,영암군,덕진면
무송동마을,전라남도,영암군,서호면
망호정 마을,전라남도,영암군,영암읍
미촌마을,전라남도,영암군,미암면
한정마을,전라남도,영암군,미암면
회문리2구마을,전라남도,영암군,영암읍
모정리마을,전라남도,영암군,군서면
태평정마을,전라남도,영암군,서호면
지남마을,전라남도,영암군,군서면
봉소리2구마을,전라남도,영암군,시종면
남송정마을,전라남도,영암군,군서면
잠곡마을,전라남도,영암군,영암읍
